artist_id,artist_genres
6roFdX1y5BYSbp60OTJWMd,"['contemporary country', 'country', 'country road']"
0g1QOskZ9opQELS5ijE6XV,"['christian uplift', 'roots worship']"
7MqnCTCAX6SsIYYdJCQj9B,"['australian dance', 'dancefloor dnb', 'drum and bass']"
5j9R5dTGerKvdXopZnfJh9,"['musica mexicana', 'norteno']"
6ueGR6SWhUJfvEhqkvMsVs,"['afrofuturism', 'alternative r&b', 'atl hip hop', 'neo soul', 'r&b']"
6HCnsY0Rxi3cg53xreoAIm,"['downtempo', 'livetronica', 'trip hop']"
2waNUwuthEgcBTFvYo26vo,['indietronica']
1qKLikeNYpQFSsDAjg7HpI,"[""children's music"", 'nursery', ""preschool children's music""]"
6lNQpovRbGoGOWjRHkP8ry,"['bachata', 'bachata dominicana']"
6IE6z7DcZIT4Ml3Fh5Ivch,"['mexican pop', 'tejano']"
1WvvwcQx0tj6NdDhZZ2zZz,"['alternative dance', 'art pop', 'baltimore indie', 'chamber pop', 'indie rock', 'indietronica', 'neo-synthpop', 'shimmer pop']"
4TTxsp1mecTPT9O4dxVtvN,"['banda', 'duranguense', 'musica mexicana']"
4fpbUiU0gUoOO2S3JGRbXA,['australian reggae fusion']
7npqy7rgdX2D3yfVyWExKo,"['latin hip hop', 'reggaeton']"
69lxxQvsfAIoQbB20bEPFC,"['american contemporary classical', 'classical', 'compositional ambient', 'contemporary classical', 'minimalism']"
4FNbNj9mlDLitaic9vXlwZ,"['pop reggaeton', 'venezuelan rock']"
2GrNjfw23jqL1NTopPlc6c,"['cantautor', 'musica canaria', 'nueva cancion', 'trova']"
1lQO7ePBTp5yOfVK9hicoJ,"['banda', 'musica mexicana', 'norteno']"
0TnOYISbd1XYRBk9myaseg,"['dance pop', 'miami hip hop', 'pop']"
0h1zs4CTlU9D2QtgPxptUD,"['cantautor', 'latin arena pop', 'latin pop']"
7zpvy5B9gb5KprNUzNCOEE,"['latin christian', 'latin worship']"
7IfculRW2WXyzNQ8djX8WX,"['afrofuturism', 'alternative r&b', 'neo soul', 'r&b']"
2wC90WSKQd0BvdxJZ0mObr,"['banda', 'corrido', 'musica mexicana', 'norteno', 'sierreno']"
5vvvgOwPjA4R5t07ZXLLwZ,"['bay area indie', 'chillwave', 'indietronica', 'shimmer pop']"
1WwQf298ZQr1yX8L4wjXpy,['tejano']
41ESHLayJ5sDKjAOv6cMhe,"['latin pop', 'mariachi', 'ranchera']"
23zg3TcAtWQy7J6upgbUnj,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']"
5LhTec3c7dcqBvpLRWbMcf,"['abstract hip hop', 'alternative hip hop', 'hip hop', 'instrumental hip hop', 'psychedelic hip hop']"
7fTcs8dn9y6XuB2IqZMzBq,[]
0XK6kT7xcZAlcYrNjOgzJe,"['cantautora mexicana', 'mexican pop']"
6T2pk5T8c4Wi61x1v84sUa,"[""children's music"", 'kindie rock']"
0IlQRCafsMrd0QkTRBU6n0,"['indie rock', 'indie surf', 'noise pop']"
