id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
3gkqjWvOpWpFQYX5AzqrY3,0.403,0.0427,6,-11.177,0,0.0366,0.926,7.52e-05,0.0984,0.274,78.073,3
4yL9MMzw2ZMMakduhuqX3k,0.679,0.75,6,-6.316,1,0.0315,0.0579,5.2e-06,0.198,0.499,130.017,4
62shNor7VDjzBx8SC9YTPm,0.448,0.895,9,-4.265,1,0.0886,0.00413,0.0,0.0752,0.205,130.078,4
467eMlMa6dmZezv8LRLJmU,0.874,0.671,0,-5.862,1,0.347,0.0346,0.0,0.105,0.18,154.985,4
0cX4xQMh43XVhXniwzDfc4,0.679,0.787,7,-7.284,1,0.0579,0.127,1.73e-06,0.24,0.776,164.953,3
003eoIwxETJujVWmNFMoZy,0.353,0.755,1,-6.276,0,0.733,0.0822,0.0,0.39,0.437,191.153,4
551ru5Q15z1jXzS5ZrycLd,0.624,0.565,7,-10.723,1,0.129,0.79,0.946,0.0944,0.265,171.047,3
4oUQtxWrg9NWuI1AXNvtWT,0.0,0.0158,4,-26.421,0,0.0,0.992,0.375,0.11,0.0,0.0,0
0UNeNA0dcfUMsGxvLwf2p3,0.821,0.694,9,-5.169,1,0.229,0.03,0.0,0.411,0.23,85.047,4
5F6ZxU9HVX0UGuurPq0wSp,0.204,0.895,6,-27.601,0,0.065,0.132,0.983,0.704,0.00741,106.882,1
6GJdFTOm23lC5bqjYSMJTj,0.534,0.795,4,-7.487,1,0.0471,0.00037,0.009,0.139,0.76,143.312,4
3P2LZ3iAWSWs2oW6gUzGkE,0.607,0.938,10,-5.141,0,0.247,0.267,8.37e-06,0.0777,0.634,125.622,4
1ByVuvjRMVXb7NH9LAhsqg,0.56,0.624,1,-9.126,1,0.441,0.272,0.0,0.0786,0.683,73.426,3
6caKrMjb5wnAeXDCwxI3h1,0.784,0.203,7,-8.796,1,0.0449,0.803,0.0,0.112,0.692,126.993,4
0gPRQD5lNj4ZUvFg7T1uIC,0.907,0.71,0,-7.285,1,0.289,0.0684,2.57e-05,0.104,0.408,146.953,4
4EOJFinaBnTxGf30ZGZ80Y,0.146,0.916,2,-27.042,1,0.0474,0.134,0.993,0.804,0.00781,93.72,1
2jQknuCFUVM4MscSToM8Ef,0.751,0.506,8,-11.279,1,0.061,0.5,0.0,0.031,0.962,144.968,4
6DuEfVcF8bmEkiFKr41SiM,0.713,0.386,4,-6.995,1,0.0291,0.63,0.0,0.151,0.52,139.968,4
653SgdD6rQ9YPtsqRgQVzm,0.616,0.809,1,-4.775,0,0.033,0.0148,0.0,0.718,0.468,140.007,4
2xUvfzTPwPPMz6oifXCtUg,0.604,0.975,1,-1.36,1,0.303,0.00306,0.0117,0.363,0.135,75.004,4
3SkmvfVgPItn0p54T83GAA,0.731,0.551,2,-5.354,0,0.04,0.296,5.13e-06,0.114,0.955,137.25,4
5v3RkhKl1Wju2MeVEfRsXS,0.798,0.523,3,-5.085,1,0.0536,0.261,0.0,0.105,0.409,124.999,4
6VRdsJEeLDGXGLeVa6Nbt0,0.621,0.826,8,-7.507,1,0.0556,0.0895,1.79e-05,0.0734,0.963,160.008,4
7be02R3LYrgKUwZlufBnwX,0.502,0.8,2,-4.997,1,0.0366,0.232,0.0,0.214,0.743,180.038,4
1SfCM0PD2szSbFOV9w0B4B,0.39,0.899,9,-6.684,1,0.241,0.0118,1.02e-06,0.0934,0.389,170.117,4
7mAVinj0SDKyImD3vj5v2V,0.818,0.618,11,-5.444,1,0.0494,0.361,0.0,0.0681,0.934,118.973,3
6daW0x5L8bsNa02uM59IZU,0.846,0.735,9,-4.621,1,0.0928,0.254,1.32e-05,0.0637,0.971,122.02,4
2NsbqxpGEmnLGXUqY8znMd,0.525,0.212,1,-7.02,0,0.0392,0.0864,0.0,0.0429,0.0386,81.338,5
5lru4OkuijC0KHUFWZ9SW8,0.492,0.324,10,-17.799,1,0.0314,0.331,0.797,0.0884,0.138,75.077,3
3wGCJz3Ay0tLt3JdkjVzmB,0.82,0.745,9,-4.921,1,0.0717,0.034,0.317,0.291,0.579,124.992,4
0RFxljd297sk7sKm5ZDD5J,0.487,0.956,1,-3.44,0,0.134,0.0352,0.0,0.301,0.482,129.966,4
0aJDvIeUkceMRueD84rRDR,0.461,0.0457,9,-28.398,0,0.0587,0.988,0.913,0.0619,0.122,73.86,3
4tYpkgBjxxin7SiUBW0Rtq,0.432,0.612,11,-8.846,0,0.211,0.00185,0.0,0.308,0.253,88.716,4
318qYMm47q1tTi1Se1hQVg,0.864,0.845,11,-4.359,0,0.0363,0.5,0.0,0.0924,0.967,129.973,4
2nHsHVTBNkRVyc6jDDMaIx,0.923,0.693,9,-4.884,1,0.174,0.0251,1.58e-06,0.0985,0.562,127.943,4
4tTFl6L8eNA7BK4dRJivK1,0.596,0.563,6,-9.547,1,0.354,0.481,0.0,0.14,0.586,76.924,4
5gasQQR5ZhOvrGpY0vULWL,0.736,0.686,0,-7.938,1,0.352,0.181,0.0,0.0969,0.639,82.385,4
126gMWNErYr7sJppOezqiC,0.615,0.836,1,-11.583,0,0.949,0.808,0.0,0.669,0.365,78.614,5
2Ejb82CnEY9OCuae9hcC9L,0.261,0.455,2,-8.839,1,0.0443,0.0184,0.0418,0.11,0.038,84.389,3
3ThFca8XaabOPZoH7ZIlP3,0.462,0.784,7,-3.409,1,0.0461,0.00503,2.21e-06,0.511,0.368,144.203,4
1iEIQ69PuAM76GCBT9HCek,0.697,0.79,5,-4.673,0,0.0577,0.0171,0.0,0.0886,0.843,98.01,4
44IhhbcQbsm4dOpb8FUmd6,0.378,0.974,7,-4.996,1,0.0575,0.00623,0.000235,0.7,0.334,142.129,4
2WYQqOwKlWMbo9zwpVZ1sH,0.284,0.0761,8,-21.119,1,0.037,0.949,0.895,0.104,0.0303,73.765,4
5e7KU72TmFmX8r9UdhJp34,0.208,0.928,2,-27.61,1,0.0554,0.132,0.973,0.89,0.0074,66.637,4
68449VKGwYShObwI2UFdFt,0.827,0.642,1,-4.29,0,0.242,0.00905,1.5e-06,0.0865,0.181,145.004,4
0crzECUaFwVsvR2Ew6dYpX,0.931,0.824,10,-3.005,0,0.403,0.0415,0.0,0.0875,0.874,131.058,4
4mVdh94HVpipSOPVevDO4I,0.216,0.909,11,-27.475,0,0.0664,0.13,0.981,0.73,0.00819,116.515,4
1hacPEUHBdBqf9z37AMbnp,0.742,0.569,11,-6.933,1,0.0479,0.199,0.0,0.0518,0.559,88.779,4
7F9mf1qxNAU9T886jeUoUA,0.423,0.988,6,-2.514,1,0.221,0.000184,0.0037,0.324,0.1,114.526,4
56Hc8SH4zK3zCUU2889RWF,0.852,0.814,5,-4.591,0,0.0397,0.598,0.0,0.0566,0.967,99.988,4
6f0Rqdv2SpiOX0qjFZDovB,0.166,0.92,2,-27.15,1,0.0573,0.137,0.973,0.799,0.0101,126.733,4
2JIVW3HY6c96Xx8KH6BNBa,0.507,0.0066,5,-22.968,1,0.0467,0.995,0.948,0.0897,0.289,142.901,3
0dwayLkKCg1AYP8XFm9YIq,0.517,0.113,0,-16.03,1,0.0366,0.974,0.000372,0.0888,0.552,59.265,4
6w4rRL2tTre4TrHK8MRujj,0.715,0.564,2,-4.387,1,0.0562,0.772,0.0,0.0935,0.965,96.27,3
3ODEuZjfxec5fYnzVhxANv,0.335,0.154,2,-20.918,1,0.0417,0.964,0.918,0.106,0.186,133.951,1
1RJBcSDWvcOAtbKUhYAaHy,0.538,0.392,0,-11.87,1,0.031,0.253,0.0,0.135,0.348,86.966,3
4dMdVEAF3xqWm9fa7jhEQ7,0.536,0.28,4,-23.052,1,0.0387,0.983,0.929,0.404,0.327,64.995,4
6GZLkw95zCwYmLEFMcFBmh,0.751,0.664,5,-6.634,0,0.0346,0.0946,5.07e-05,0.213,0.813,101.975,4
26IRVTEPHlZHFL5E4beZEh,0.513,0.262,10,-10.46,1,0.0422,0.854,0.0,0.155,0.357,155.459,4
0OGLxCw7G5HQiyDx6yXOxz,0.123,0.888,1,-27.513,0,0.0518,0.131,0.993,0.7,0.00938,61.41,3
6qu53IWTHi9odNr4hBDHk6,0.735,0.801,9,-5.759,0,0.103,0.296,0.00067,0.118,0.783,163.931,4
2XYh8TIQN2GJTs3XGCHW16,0.194,0.828,11,-27.47,0,0.058,0.142,0.987,0.571,0.0104,77.349,4
4SqFKz56kpmQGfMLEAzEJL,0.665,0.595,11,-8.603,1,0.109,0.0532,0.128,0.0984,0.529,93.949,4
4EQeE98JeOcxg9YI5k8WV1,0.426,0.0285,11,-23.47,1,0.0379,0.991,0.938,0.0913,0.312,73.849,5
1lzRbOqdoxkcK3raLYbMtV,0.751,0.907,7,-3.191,0,0.319,0.225,0.0,0.126,0.76,165.13,4
7FJvQbDhQqIzNAMnQ9cf0K,0.466,0.818,6,-7.317,1,0.0493,0.00145,0.0,0.123,0.588,134.907,4
19Tob3zAQ1Z9iD4WZoATqG,0.145,0.925,11,-27.291,0,0.0472,0.137,0.966,0.741,0.00981,91.523,4
3mUk1wiSBpiuK4oSSyDmTQ,0.503,0.751,6,-5.785,0,0.35,0.215,0.0,0.0551,0.324,90.04,4
2kHl3Ngt6kJsCuwq23KMIE,0.499,0.92,6,-4.549,1,0.0539,0.000313,1.73e-06,0.341,0.198,97.509,4
6SHN5cCJKs4AkVStuChozF,0.793,0.555,8,-7.624,0,0.197,0.0955,4.28e-05,0.0402,0.714,94.983,4
3dtcO1yeG1FhLkcg5WN5kj,0.66,0.762,3,-4.486,0,0.117,0.571,0.00151,0.393,0.267,114.861,4
3fXrTX6nLzqBEmh1rCMP8N,0.768,0.705,2,-4.366,1,0.25,0.189,0.0,0.827,0.432,134.879,4
1MdbDBwEEecnlLiyWChJFh,0.661,0.548,10,-4.053,0,0.0407,0.652,0.265,0.0913,0.0954,75.068,4
4Ee6ZsyVepVsvObgYwzgH1,0.534,0.827,7,-2.932,1,0.0987,0.0121,0.0621,0.117,0.649,123.952,4
3Oj5f6XETShvp2xknJyGMf,0.844,0.85,1,-2.882,1,0.215,0.0954,1.12e-06,0.597,0.608,94.969,4
1gqW4nZoglzfLqmwBtaFfH,0.71,0.28,9,-14.769,0,0.41,0.727,1.66e-05,0.128,0.702,100.054,4
4BH9zDv1Ys6kw0j3lU1hTx,0.968,0.352,9,-7.122,1,0.121,0.0365,0.000103,0.0677,0.599,111.968,4
4M8x1TR36VMQMFMbGCdoyA,0.684,0.816,10,-5.211,0,0.0322,0.0181,0.0,0.0222,0.702,121.993,4
75JfGzQx8XW2HjuZ5sDC1Z,0.215,0.903,2,-27.192,1,0.0499,0.142,0.977,0.83,0.0115,78.775,5
4BDY4jBWrzjbeWfR1DKvpI,0.746,0.886,11,-3.458,0,0.0351,0.0189,0.178,0.0853,0.199,99.965,4
6euwgOanJOzsBeZUDTbx29,0.547,0.987,1,-3.71,0,0.0783,0.000133,0.000303,0.343,0.382,104.086,4
6yX9Q7ykLMf16cEdyaAdUj,0.785,0.863,0,-5.919,1,0.26,0.359,0.0,0.0565,0.907,95.005,4
2xVrFCODKe7cGjc8nkOINq,0.503,0.311,11,-11.379,0,0.028,0.862,0.00225,0.0969,0.0832,81.937,4
6QbWwa7R89HU9enfSadkw8,0.345,0.295,11,-11.457,0,0.0367,0.0724,9.54e-06,0.0911,0.126,140.039,5
6k7HXjdVsiZ9O0oiMeL3T5,0.8,0.746,2,-5.224,1,0.0296,0.16,4e-05,0.34,0.843,116.034,4
32lexhcz93AinKK0qLTZaZ,0.799,0.676,2,-5.644,1,0.169,0.41,0.000777,0.325,0.91,104.956,4
33SawFo7Ld2TcTlRi6gmRu,0.659,0.262,7,-18.118,1,0.0405,0.937,0.755,0.101,0.417,128.169,3
3iRPj3HF8ZR1Exo1q69LCI,0.681,0.547,8,-12.914,1,0.458,0.137,1.55e-06,0.134,0.331,164.074,4
64fPOzxjBozqvvRJnaGakC,0.243,0.0651,11,-23.362,0,0.0647,0.989,0.766,0.128,0.0326,84.066,4
25lrlvqhBed81hejnUIP5P,0.689,0.947,1,-3.926,1,0.0897,0.00209,0.0,0.228,0.393,119.993,4
3tQYlQpjDf4i8ezFtuD5Nd,0.691,0.809,1,-4.765,1,0.278,0.223,0.0,0.0943,0.622,129.464,4
7zAGi1cps7yYhAajGXlFTH,0.84,0.596,6,-4.319,0,0.0918,0.216,0.0,0.0897,0.71,139.937,4
7eBhzegzgFcQVx2o7ICk9x,0.788,0.366,8,-13.443,1,0.0374,0.858,0.628,0.253,0.362,98.027,4
4cv76zbmiwi8s6UB8uXH6e,0.665,0.9,5,-3.925,1,0.0471,0.185,1.18e-05,0.0843,0.821,117.256,3
0lPAdduzcammz0B3dLoYDT,0.423,0.0344,3,-20.776,1,0.0329,0.986,0.901,0.171,0.0852,144.713,4
6CQQo8jc81XAHFeLw1MTkw,0.135,0.885,2,-27.42,1,0.0512,0.127,0.979,0.709,0.00875,74.129,3
1qWJ0xfTN0fxK2gZPX8rEo,0.27,0.678,2,-6.943,1,0.044,0.341,8.37e-06,0.875,0.181,61.132,4
45DqjNxyYxd1QC7Anad7SI,0.449,0.101,9,-24.302,0,0.0461,0.988,0.932,0.108,0.102,180.161,4
1C6z6o5AqGi2JSUqYL9NUj,0.238,0.788,8,-4.815,1,0.0677,0.00976,0.441,0.0635,0.636,168.208,4
37gqBnUAZe8BY8WR56kDNk,0.774,0.751,1,-2.445,1,0.198,0.0614,0.0,0.0728,0.189,109.98,4
16TmFbChPRVzNZOlGylxDS,0.829,0.853,2,-10.153,1,0.0385,0.0697,0.626,0.124,0.387,110.007,4
3HlRR0UL6hFZzoXm3TV8mP,0.538,0.887,11,-4.246,0,0.0552,0.0139,0.0197,0.185,0.699,90.988,4
28AC8LLnTiLbFeDDYrgUAr,0.0872,0.22,10,-13.308,1,0.0391,0.831,0.469,0.106,0.0383,81.691,4
6TikcWOLRsPq66GBx2jk67,0.657,0.811,5,-3.253,0,0.184,0.0259,0.0,0.311,0.835,175.91,4
20qJn24FnTgKAE2ljSD6lM,0.631,0.0507,7,-14.895,0,0.0486,0.99,0.953,0.108,0.359,66.71,5
7yoCdcKNMYVekFTcCKB2dU,0.24,0.965,7,-5.183,1,0.182,1.75e-05,0.758,0.603,0.191,157.979,4
4JSi9JnH9qb7IvxZmhwNxF,0.71,0.584,10,-10.201,0,0.292,0.255,0.0223,0.194,0.727,160.089,4
4Lrz8td7tFqtRvVFhxxtev,0.466,0.935,3,-4.282,1,0.0754,0.0252,0.861,0.167,0.701,194.995,3
6dkiVnH6l01dOmxIHzW3bg,0.483,0.185,7,-16.786,1,0.0459,0.991,0.942,0.129,0.14,139.807,4
4ytlkHbkpwhUCnSQnUrGmf,0.699,0.702,6,-7.955,0,0.0642,0.0828,0.00147,0.0667,0.608,75.012,4
5t3MRx1pzFEbLhElmUWtDi,0.755,0.713,8,-4.342,0,0.0738,0.125,0.135,0.831,0.444,128.108,4
3PV5i9QXcAZxT8YVn9gMkU,0.2,0.017,7,-29.794,0,0.0377,0.992,0.697,0.35,0.0937,171.82,3
3vzJk3b5RmxzocAkRGC1Si,0.771,0.784,1,-6.731,1,0.0515,0.156,0.676,0.283,0.942,89.988,4
3elG0XofkA7ZJGi5xEYMf2,0.559,0.33,7,-4.413,1,0.0274,0.0962,0.0,0.213,0.36,133.954,3
1RHuBRoACkLRo2vjGqFCwf,0.444,0.669,3,-6.23,1,0.0432,0.0368,0.0,0.109,0.0731,137.977,4
5obYqWI6fSWsSTCFjuvyrB,0.81,0.985,2,-3.214,1,0.0455,0.276,0.0345,0.104,0.795,108.595,3
0oWxX30r2MlBqJd96maCo1,0.18,0.898,1,-27.7,0,0.0529,0.139,0.99,0.656,0.0101,59.618,4
2URDbWGmPz3vhagl25p8OC,0.584,0.835,9,-4.326,0,0.0297,0.0411,0.0147,0.199,0.781,142.2,4
7fEfIU4ZVvB5Wb6xg2zcvx,0.5,0.956,9,-1.363,0,0.0468,0.00696,0.00138,0.533,0.123,141.975,4
01zt4m5ytpMFSULVyaGOZl,0.461,0.832,0,-5.865,1,0.0422,0.0111,0.000128,0.207,0.552,90.004,4
31aF4GXwVcAzN5KO7gWgF9,0.863,0.876,1,-3.815,1,0.0977,0.0279,2.79e-05,0.0739,0.585,125.962,4
293XAZ5eXgAWPXb1N2eR47,0.683,0.787,1,-4.312,1,0.26,0.07,1.43e-06,0.116,0.409,160.979,4
1XGPIdV19Qp3p7aBGhP6EQ,0.325,0.578,5,-5.785,1,0.0286,0.192,0.0,0.107,0.155,142.859,4
16sK5NlDcD9DfDKIj6vTPe,0.285,0.252,0,-12.215,1,0.035,0.749,0.83,0.342,0.136,136.709,4
16QjPRt5HYK0dnLGmGRCvf,0.658,0.535,11,-8.197,1,0.515,0.257,0.0,0.0981,0.395,150.055,4
7n2KqfGvD8rRSKvrz4rJtT,0.765,0.312,1,-14.229,1,0.121,0.565,0.0,0.487,0.656,119.964,4
35cOyocq8Gb6UcT0NWeTwn,0.629,0.554,1,-6.759,1,0.326,0.28,0.0,0.158,0.308,126.694,4
6VvXSjTQMP6eInrjz4kq2W,0.488,0.581,11,-7.197,1,0.11,0.447,0.000655,0.233,0.393,174.062,4
6UYD7dNWb2r1CQRKg5w4Fh,0.68,0.842,9,-5.32,0,0.0258,0.148,0.00283,0.125,0.717,94.524,4
1HhWp9pfu2AveQipQMWKXe,0.631,0.532,0,-7.219,1,0.0395,0.185,0.0,0.164,0.599,95.052,4
64gzvtnbBAQVJslAmzxL2V,0.567,0.878,8,-3.696,0,0.145,0.354,0.0,0.195,0.954,118.048,3
0f7ncdelYYK6pTOtgCru36,0.611,0.793,9,-6.849,1,0.0328,0.201,0.0,0.195,0.627,109.962,4
0WnV4YotgHecDIzfihlcjn,0.828,0.37,7,-7.441,0,0.26,0.484,0.0,0.119,0.549,149.964,4
5B75MQpx3MgpCfrdt2C8Ky,0.14,0.914,11,-16.12,0,0.0879,0.0262,0.956,0.772,0.00832,88.719,3
3zM2yi75oB3v00sZvWUzIn,0.409,0.743,1,-4.536,1,0.0496,0.225,0.0,0.276,0.441,167.864,4
6Rt4tkfTd3NE4Wp5OVHCwh,0.169,0.911,2,-27.453,1,0.07,0.143,0.991,0.668,0.00792,122.583,5
7FU0DVMhB66qrtB6Aep32W,0.766,0.82,0,-3.05,1,0.205,0.147,0.0,0.123,0.889,155.048,4
2ZRo7axmMPeSVUvDbGkJah,0.592,0.457,9,-6.081,0,0.0603,0.661,0.000331,0.146,0.225,146.04,4
7D7e6hm2LiNd6nLuJF6K9Q,0.845,0.398,5,-15.781,1,0.268,0.872,0.00713,0.159,0.482,109.996,4
39sDitIeCMrVX2QyXHY46t,0.751,0.72,4,-6.376,1,0.0303,0.554,0.0497,0.258,0.884,135.73,4
75IQVo8hqI1iwVZyvkN2VT,0.791,0.271,5,-11.959,1,0.0431,0.672,0.543,0.102,0.564,166.002,4
7BqHUALzNBTanL6OvsqmC1,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.011,4
1rqqCSm0Qe4I9rUvWncaom,0.579,0.904,5,-2.729,1,0.0618,0.193,0.0,0.064,0.681,82.014,4
3XRQT7EoS4U87rUuJwg5P3,0.62,0.451,6,-7.623,1,0.17,0.128,0.0,0.373,0.294,156.906,4
7zwn1eykZtZ5LODrf7c0tS,0.551,0.881,7,-6.099,0,0.0542,0.186,0.0791,0.152,0.387,88.036,4
